"grid"	"year"	"month"	"day"	"L"	"L2"	"L3"	"nuSpecies"	"visit"	"y"	"siteIndex"	"yearIndex"	"bio1"	"bio5"	"bio6"	"Forest"	"Open"	"Bottom"	"Top"	"PrefOpen"	"PrefClosed"	"Agriculture"	"Habitat"	"ID_0"	"ISO"	"NAME_0"	"ID_1"	"NAME_1"	"ID_2"	"NAME_2"	"TYPE_2"	"ENGTYPE_2"	"NL_NAME_2"	"VARNAME_2"	"adm"	"adm2"	"tree_line_position"	"alpine_habitat1"	"alpine_habitat2"	"alpine_habitat3"	"alpine_habitat4"	"High"	"admN"	"admN2"	"site"	"siteyearIndex"	"samplingDays"	"Effort"	"species"	"nuVisits"	"nuObs"	"x"
5408	2007	NA	NA	NA	NA	NA	NA	NA	7988021.13526258	4	1	0.0543478260869565	167.467391304348	-158.619565217391	0	210	0	17	10	0	0	"Open"	"169"	"NOR"	"Norway"	"5"	"Finnmark"	"83"	"Gamvik"	"Kommuner"	"Municipality"	NA	NA	"Finnmark"	"Gamvik"	-6.341993809697	0	1	0	0	0	5	103	"5-103-5408"	4	0	0	0	5	0	1177014.40275069
5644	2007	NA	NA	NA	NA	NA	NA	NA	7983021.13526258	9	1	-4.17361111111111	176.828703703704	-165.37962962963	0	262	0	94	54	0	0	"Open"	"169"	"NOR"	"Norway"	"5"	"Finnmark"	"83"	"Gamvik"	"Kommuner"	"Municipality"	NA	NA	"Finnmark"	"Gamvik"	-65.947882503891	0	1	0	0	0	5	103	"5-103-5644"	9	0	0	0	5	0	1172014.40275069
5654	2007	7	16	1	1	1	91	"2007-7-16-5654"	7983021.13526258	15	1	1.97	147.785	-157.005	3	165	12	151	91	0	6	"Top"	"169"	"NOR"	"Norway"	"5"	"Finnmark"	"82"	"Berlevåg"	"Kommuner"	"Municipality"	NA	NA	"Finnmark"	"Berlevåg"	79.7052374958187	0.272727272727273	0.727272727272727	0	0	0	5	46	"5-46-5654"	15	2	0.010989010989011	0	100	0	1222014.40275069
5878	2007	NA	NA	NA	NA	NA	NA	NA	7978021.13526258	16	1	3.25260416666667	169.466145833333	-153.6171875	0	231	0	126	64	0	0	"Open"	"169"	"NOR"	"Norway"	"5"	"Finnmark"	"89"	"Lebesby"	"Kommuner"	"Municipality"	NA	NA	"Finnmark"	"Lebesby"	-63.261897485352	0	1	0	0	0	5	186	"5-186-5878"	16	0	0	0	5	0	1157014.40275069
5879	2007	NA	NA	NA	NA	NA	NA	NA	7978021.13526258	17	1	-1.52717391304348	174.339673913043	-158.739130434783	0	214	0	15	8	0	0	"Open"	"169"	"NOR"	"Norway"	"5"	"Finnmark"	"89"	"Lebesby"	"Kommuner"	"Municipality"	NA	NA	"Finnmark"	"Lebesby"	-124.654530002213	0.0869565217391304	0.91304347826087	0	0	0	5	186	"5-186-5879"	17	0	0	0	1	0	1162014.40275069
5881	2007	NA	NA	NA	NA	NA	NA	NA	7978021.13526258	19	1	-9.825	179.285	-174.7625	0	254	0	10	1	0	0	"Open"	"169"	"NOR"	"Norway"	"5"	"Finnmark"	"83"	"Gamvik"	"Kommuner"	"Municipality"	NA	NA	"Finnmark"	"Gamvik"	-139.292202519989	0	1	0	0	0	5	103	"5-103-5881"	19	0	0	0	19	0	1172014.40275069
5882	2007	NA	NA	NA	NA	NA	NA	NA	7978021.13526258	20	1	-11.65	183.935	-181.6775	0	229	0	4	0	0	0	"Open"	"169"	"NOR"	"Norway"	"5"	"Finnmark"	"83"	"Gamvik"	"Kommuner"	"Municipality"	NA	NA	"Finnmark"	"Gamvik"	-100.568372489166	0	1	0	0	0	5	103	"5-103-5882"	20	0	0	0	1	0	1177014.40275069
5884	2007	NA	NA	NA	NA	NA	NA	NA	7978021.13526258	22	1	-11.2235576923077	165.706730769231	-174.867788461538	0	227	0	98	39	0	0	"Open"	"169"	"NOR"	"Norway"	"5"	"Finnmark"	"83"	"Gamvik"	"Kommuner"	"Municipality"	NA	NA	"Finnmark"	"Gamvik"	-39.777285029602	0	0.96	0.04	0	0	5	103	"5-103-5884"	22	0	0	0	1	0	1187014.40275069
5891	2007	NA	NA	NA	NA	NA	NA	NA	7978021.13526258	24	1	-7.245	166.57	-172.3875	0	248	0	100	70	0	0	"Open"	"169"	"NOR"	"Norway"	"5"	"Finnmark"	"82"	"Berlevåg"	"Kommuner"	"Municipality"	NA	NA	"Finnmark"	"Berlevåg"	-80.806310015869	0	1	0	0	0	5	46	"5-46-5891"	24	0	0	0	2	0	1222014.40275069
5893	2007	6	12	5	5	1	44	"2007-6-12-5893"	7978021.13526258	26	1	-2.1525	153.89	-164.935	0	184	0	40	25	0	0	"Open"	"169"	"NOR"	"Norway"	"5"	"Finnmark"	"82"	"Berlevåg"	"Kommuner"	"Municipality"	NA	NA	"Finnmark"	"Berlevåg"	-46.7253499935625	0.130434782608696	0.869565217391304	0	0	0	5	46	"5-46-5893"	26	1	0.113636363636364	0	33	0	1232014.40275069
